연월,매입수량,매출수량,품목,폭염일수,한파일수,평균기온,평균일교차,강수량,CPI_라면,CPI_탄산,COVID_19,명절,품목_코드
2021-01-01,0.6388399671245744,0.08477719752062084,봉지라면,0.0,1.0,0.010238907849829344,0.5833333333333333,0.034359483614697116,0.02481291847183975,0.043698543381887056,1,0,0
2021-02-01,0.4715666705804078,0.023183171457855437,봉지라면,0.0,0.07272727272727274,0.16382252559726962,0.6944444444444442,0.03475670307845084,0.019298936589208893,0.07663077897403436,1,1,0
2021-03-01,0.8486556299166372,0.09326955927570892,봉지라면,0.0,0.0,0.34470989761092147,0.708333333333333,0.21469712015888778,0.025600630169358318,0.1355288157061434,1,0,0
2021-04-01,0.7393448397323001,0.04353555566401483,봉지라면,0.0,0.0,0.49829351535836175,0.75,0.14637537239324727,0.0,0.21089297023432518,1,0,0
2021-05-01,0.4117647058823529,0.06281419298159989,봉지라면,0.0,0.0,0.6143344709897612,0.5833333333333333,0.2804369414101291,0.026388341866876885,0.16719442685243813,1,0,0
2021-06-01,0.3440961214825251,0.03279808677827127,봉지라면,0.00591715976331361,0.0,0.7883959044368601,0.36111111111111094,0.17676266137040714,0.04726270185112247,0.12476250791640275,1,0,0
2021-07-01,0.8818832922390514,0.09326955927570892,봉지라면,0.47928994082840237,0.0,0.9351535836177475,0.2777777777777777,0.45918570009930487,0.05435210712879135,0.12982900569980949,1,0,0
2021-08-01,0.4828382450784705,0.027136512274879204,봉지라면,0.20710059171597633,0.0,0.8941979522184301,0.15277777777777768,0.5676266137040714,0.05671524222134705,0.0,1,0,0
2021-09-01,0.40695080427380537,0.04133925521011274,봉지라면,0.0,0.0,0.7747440273037544,0.20833333333333326,0.2844091360476664,0.3847971642378889,0.19506016466117782,1,1,0
2021-10-01,0.8198504950882548,0.09239103909414807,봉지라면,0.0,0.0,0.5631399317406144,0.5833333333333333,0.1018867924528302,0.42260732571878723,0.2362254591513615,1,0,0
2021-11-01,0.6926539078705334,0.09326955927570892,봉지라면,0.0,0.0,0.33105802047781574,0.6388888888888886,0.11002979145978153,0.374163056321386,0.2697910069664342,1,0,0
2021-12-01,1.0,0.09326955927570892,봉지라면,0.0,0.2363636363636364,0.11262798634812285,0.5416666666666665,0.009136047666335651,0.37692004726270234,0.4129195693476877,1,0,0
2022-01-01,0.6892880904856953,0.0567133583874274,봉지라면,0.0,0.5454545454545454,0.020477815699658695,0.6111111111111109,0.0,0.4316660102402521,0.4509183027232426,1,0,0
2022-02-01,0.49152675042072713,0.02943042608228806,봉지라면,0.0,0.32727272727272727,0.04436860068259385,0.6249999999999998,0.0017874875868917573,0.44584482079558896,0.480050664977834,1,1,0
2022-03-01,0.5674141912253924,0.051930304065596164,봉지라면,0.0,0.0,0.310580204778157,0.708333333333333,0.1723932472691162,0.3930681370618352,0.2837238758708045,1,0,0
2022-04-01,0.5260068099095926,0.04529259602713652,봉지라면,0.0,0.0,0.5187713310580205,0.875,0.11281032770605759,0.38400945254037033,0.5693476884103861,1,0,0
2022-05-01,0.6120308402802239,0.06681634047537703,봉지라면,0.01183431952662722,0.0,0.6621160409556315,0.9027777777777777,0.006355511420059582,0.38676644348168576,0.5725142495250157,0,0,0
2022-06-01,0.5704669093186177,0.06364390648640735,봉지라면,0.09467455621301776,0.0,0.8122866894197952,0.3194444444444444,0.36166832174776564,0.37692004726270234,0.7561747941735266,0,0,0
2022-07-01,0.47524558725685884,0.040411928351798534,봉지라면,0.3431952662721894,0.0,0.931740614334471,0.16666666666666652,0.34915590863952334,0.42418274911382436,0.6732108929702338,0,0,0
2022-08-01,0.6778208289303745,0.07321001513006979,봉지라면,0.1715976331360947,0.0,0.9112627986348124,0.05555555555555558,0.6135054617676267,0.4198503347774718,0.5953134895503487,0,0,0
2022-09-01,0.7298735861610113,0.05939772560886329,봉지라면,0.01183431952662722,0.0,0.764505119453925,0.43055555555555536,0.2943396226415095,0.5466719180779842,0.5927802406586444,0,1,0
2022-10-01,0.2115377088959336,0.03157791985943677,봉지라면,0.0,0.0,0.5255972696245734,0.6388888888888886,0.14895729890764647,0.9704608113430488,0.6238125395820138,0,0,0
2022-11-01,0.490548315134437,0.043779589047781745,봉지라면,0.0,0.0,0.37542662116040953,0.8333333333333333,0.11717974180734855,0.8940527766837336,0.7162761241291955,0,0,0
2022-12-01,0.7030253219052092,0.05886085216457611,봉지라면,0.0,0.6363636363636364,0.0,0.4444444444444444,0.025024826216484605,0.9184718393068136,0.827105763141228,0,0,0
2023-01-01,0.4122343548197722,0.04905071013714675,봉지라면,0.0,0.6181818181818182,0.0273037542662116,0.5972222222222221,0.07527308838133068,0.9487987396612843,0.8765041165294489,0,1,0
2023-02-01,0.7462330241477828,0.05012445702572112,봉지라면,0.0,0.018181818181818184,0.13310580204778158,0.6527777777777777,0.025024826216484605,1.0,0.7156428119062692,0,0,0
2023-03-01,0.43638213768541345,0.047781736541558886,봉지라면,0.0,0.0,0.36860068259385664,1.0,0.05183714001986097,0.9228042536431671,0.8549715009499677,0,0,0
2023-04-01,0.5932448827834527,0.0402655083215384,봉지라면,0.0,0.0,0.4948805460750853,0.75,0.12651439920556107,0.9665222528554551,0.7289423685877141,0,0,0
2023-05-01,0.34554420570623456,0.03626336082776124,봉지라면,0.01183431952662722,0.0,0.658703071672355,0.6388888888888886,0.37894736842105264,0.9645529736116583,0.6611779607346415,0,0,0
2023-06-01,0.22981488004383388,0.020449997559666158,봉지라면,0.05325443786982249,0.0,0.8088737201365188,0.4027777777777777,0.4119165839126117,0.959826703426546,0.8549715009499677,0,0,0
